t,steer_rad,accel,v_ref,cte,wp_idx
9.8400,0.273860,3.500000,8.0000,1.8536,1
9.8600,-0.532297,-3.500000,6.3612,1.1919,1
9.8800,0.329940,-3.304269,5.5358,1.5508,1
9.9000,0.128058,-3.500000,4.5494,1.4032,1
9.9200,0.343510,3.500000,8.0000,1.2585,1
9.9400,-0.097934,-3.500000,4.8616,1.8729,2
9.9600,0.375125,1.928880,5.8991,2.3712,2
9.9800,-0.138669,1.818676,6.6570,1.5641,1
10.0000,0.142206,-2.982506,5.8834,1.4087,1
10.0200,0.504338,2.372184,6.7244,1.9324,2
10.0400,0.272564,-2.837169,5.9740,1.7866,1
10.0600,0.518906,-3.500000,4.2839,1.6428,1
