t,steer_rad,accel,v_ref,cte,wp_idx
7.7000,0.000000,0.663887,5.2000,33.0574,1
7.7200,0.000000,0.663887,5.2000,33.1613,1
7.7400,0.000000,0.663887,5.2000,33.2652,1
7.7600,0.000000,0.663887,5.2000,33.3691,1
7.7800,0.000000,0.663887,5.2000,33.4730,1
7.8000,0.000000,0.663887,5.2000,33.5769,1
7.8200,0.000000,0.663887,5.2000,33.6808,1
7.8400,0.000000,0.663887,5.2000,33.7846,1
7.8600,0.000000,0.663887,5.2000,33.8885,1
7.8800,0.000000,0.663887,5.2000,33.9924,1
7.9000,0.000000,0.663887,5.2000,34.0963,1
7.9200,0.000000,0.663887,5.2000,34.2002,1
7.9400,0.000000,0.663887,5.2000,34.3041,1
7.9600,0.000000,0.663887,5.2000,34.4080,1
7.9800,0.000000,0.663887,5.2000,34.5119,1
8.0000,0.000000,0.663887,5.2000,34.6158,1
8.0200,0.000000,0.663887,5.2000,34.7197,1
8.0400,0.000000,0.663887,5.2000,34.8236,1
8.0600,0.000000,0.663887,5.2000,34.9275,1
8.0800,0.000000,0.663887,5.2000,35.0314,1
8.1000,0.000000,0.663887,5.2000,35.1352,1
8.1200,0.000000,0.663887,5.2000,35.2391,1
8.1400,0.000000,0.663887,5.2000,35.3430,1
8.1600,0.000000,0.663887,5.2000,35.4469,1
8.1800,0.000000,0.663887,5.2000,35.5508,1
8.2000,0.000000,0.663887,5.2000,35.6547,1
8.2200,0.000000,0.663887,5.2000,35.7586,1
8.2400,0.000000,0.663887,5.2000,35.8625,1
8.2600,0.000000,0.663887,5.2000,35.9664,1
8.2800,0.000000,0.663887,5.2000,36.0703,1
8.3000,0.000000,0.663887,5.2000,36.1742,1
8.3200,0.000000,0.663887,5.2000,36.2782,1
8.3400,0.000000,0.663887,5.2000,36.3821,1
8.3600,0.000000,0.663887,5.2000,36.4860,1
8.3800,0.000000,0.663887,5.2000,36.5899,1
8.4000,0.000000,0.663887,5.2000,36.6938,1
8.4200,0.000000,0.663887,5.2000,36.7977,1
8.4400,0.000000,0.663887,5.2000,36.9016,1
8.4600,0.000000,0.663887,5.2000,37.0055,1
8.4800,0.000000,0.663887,5.2000,37.1094,1
8.5000,0.000000,0.663887,5.2000,37.2133,1
8.5200,0.000000,0.663887,5.2000,37.3172,1
8.5400,0.000000,0.663887,5.2000,37.4211,1
8.5600,0.000000,0.663887,5.2000,37.5250,1
8.5800,0.000000,0.663887,5.2000,37.6289,1
8.6000,0.000000,0.663887,5.2000,37.7328,1
8.6200,0.000000,0.663887,5.2000,37.8368,1
8.6400,0.000000,0.663887,5.2000,37.9407,1
8.6600,0.000000,0.663887,5.2000,38.0446,1
8.6800,0.000000,0.663887,5.2000,38.1485,1
8.7000,0.000000,0.663887,5.2000,38.2524,1
8.7200,0.000000,0.663887,5.2000,38.3563,1
8.7400,0.000000,0.663887,5.2000,38.4602,1
8.7600,0.000000,0.663887,5.2000,38.5642,1
8.7800,0.000000,0.663887,5.2000,38.6681,1
8.8000,0.000000,0.663887,5.2000,38.7720,1
8.8200,0.000000,0.663887,5.2000,38.8759,1
8.8400,0.000000,0.663887,5.2000,38.9798,1
8.8600,0.000000,0.663887,5.2000,39.0837,1
8.8800,0.000000,0.663887,5.2000,39.1876,1
8.9000,0.000000,0.663887,5.2000,39.2916,1
8.9200,0.000000,0.663887,5.2000,39.3955,1
8.9400,0.000000,0.663887,5.2000,39.4994,1
8.9600,0.000000,0.663887,5.2000,39.6033,1
8.9800,0.000000,0.663887,5.2000,39.7072,1
9.0000,0.000000,0.663887,5.2000,39.8112,1
9.0200,0.000000,0.663887,5.2000,39.9151,1
9.0400,0.000000,0.663887,5.2000,40.0190,1
9.0600,0.000000,0.663887,5.2000,40.1229,1
9.0800,0.000000,0.663887,5.2000,40.2268,1
9.1000,0.000000,0.663887,5.2000,40.3308,1
9.1200,0.000000,0.663887,5.2000,40.4347,1
9.1400,0.000000,0.663887,5.2000,40.5386,1
9.1600,0.000000,0.663887,5.2000,40.6425,1
9.1800,0.000000,0.663887,5.2000,40.7464,1
9.2000,0.000000,0.663887,5.2000,40.8504,1
9.2200,0.000000,0.663887,5.2000,40.9543,1
9.2400,0.000000,0.663887,5.2000,41.0582,1
9.2600,0.000000,0.663887,5.2000,41.1621,1
9.2800,0.000000,0.663887,5.2000,41.2661,1
9.3000,0.000000,0.663887,5.2000,41.3700,1
9.3200,0.000000,0.663887,5.2000,41.4739,1
9.3400,0.000000,0.663887,5.2000,41.5778,1
9.3600,0.000000,0.663887,5.2000,41.6818,1
9.3800,0.000000,0.663887,5.2000,41.7857,1
9.4000,0.000000,0.663887,5.2000,41.8896,1
9.4200,0.000000,0.663887,5.2000,41.9936,1
9.4400,0.000000,0.663887,5.2000,42.0975,1
9.4600,0.000000,0.663887,5.2000,42.2014,1
9.4800,0.000000,0.663887,5.2000,42.3053,1
9.5000,0.000000,0.663887,5.2000,42.4093,1
9.5200,0.000000,0.663887,5.2000,42.5132,1
9.5400,0.000000,0.663887,5.2000,42.6171,1
9.5600,0.000000,0.663887,5.2000,42.7211,1
9.5800,0.000000,0.663887,5.2000,42.8250,1
9.6000,0.000000,0.663887,5.2000,42.9289,1
9.6200,0.000000,0.663887,5.2000,43.0329,1
9.6400,0.000000,0.663887,5.2000,43.1368,1
9.6600,0.000000,0.663887,5.2000,43.2407,1
9.6800,0.000000,0.663887,5.2000,43.3446,1
9.7000,0.000000,0.663887,5.2000,43.4486,1
9.7200,0.000000,0.663887,5.2000,43.5525,1
9.7400,0.000000,0.663887,5.2000,43.6564,1
9.7600,0.000000,0.663887,5.2000,43.7604,1
9.7800,0.000000,0.663887,5.2000,43.8643,1
9.8000,0.000000,0.663887,5.2000,43.9682,1
9.8200,0.000000,0.663887,5.2000,44.0722,1
9.8400,0.000000,0.663887,5.2000,44.1761,1
9.8600,0.000000,0.663887,5.2000,44.2801,1
9.8800,0.000000,0.663887,5.2000,44.3840,1
9.9000,0.000000,0.663887,5.2000,44.4879,1
9.9200,0.000000,0.663887,5.2000,44.5919,1
9.9400,0.000000,0.663887,5.2000,44.6958,1
9.9600,0.000000,0.663887,5.2000,44.7997,1
9.9800,0.000000,0.663887,5.2000,44.9037,1
10.0000,0.000000,0.663887,5.2000,45.0076,1
10.0200,0.000000,0.663887,5.2000,45.1115,1
10.0400,0.000000,0.663887,5.2000,45.2155,1
10.0600,0.000000,0.663887,5.2000,45.3194,1
10.0800,0.000000,0.663887,5.2000,45.4234,1
10.1000,0.000000,0.663887,5.2000,45.5273,1
10.1200,0.000000,0.663887,5.2000,45.6312,1
10.1400,0.000000,0.663887,5.2000,45.7352,1
10.1600,0.000000,0.663887,5.2000,45.8391,1
10.1800,0.000000,0.663887,5.2000,45.9431,1
10.2000,0.000000,0.663887,5.2000,46.0470,1
10.2200,0.000000,0.663887,5.2000,46.1509,1
